Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
106752,407903600893476,May,CA,4565.6538,1107.6,53,39,1,,24,1,7,0,0,"Native, Born In US",9,"Aerospace products and parts manufacturing (336414, 336415, 336419)",8220,"Private, For Profit",No,No,Employed-At Work
106754,407905580699286,May,CA,3461.9672,400.0,40,38,1,,35,2,5,0,0,"Native, Born In US",9,Other personal services (8129),4350,"Private, For Profit",No,No,Employed-At Work
106755,407905580699286,May,CA,3477.146,416.0,40,39,1,,44,2,5,0,0,"Native, Born In US",9,Building material and supplies dealers (4441 exc. 44413),4720,"Private, For Profit",No,No,Employed-At Work
106756,407908140091646,May,CA,3361.6648,590.0,40,39,1,1.0,35,2,5,2,3,"Foreign Born, US Cit By Naturalization",9,Grocery stores (4451),5400,"Private, For Profit",No,Yes,Employed-At Work
106761,407908140871646,May,CA,3323.3681,2884.61,45,43,1,,38,1,1,1,1,"Native, Born In US",9,Advertising and related services (5418),4800,"Private, For Profit",No,No,Employed-At Work
106762,407908140871646,May,CA,3307.1552,2884.61,50,45,1,,39,2,1,1,1,"Native, Born In US",9,Hospitals (622),3060,Government - State,Yes,,Employed-At Work
106764,407909460596216,May,CA,2791.9,2360.5,40,43,1,,59,1,1,0,0,"Native, Born In US",9,Motion pictures and video industries (5121),1050,"Private, For Profit",No,No,Employed-Absent
106765,407909510898726,May,CA,3053.753,2054.0,40,43,1,,47,1,1,0,0,"Native, Born In US",9,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",430,Government - Local,Yes,,Employed-At Work
106770,426249070589002,May,CA,3039.4022,162.5,16,43,1,,45,2,7,0,0,"Native, Born In US",9,Outpatient care centers (6214),2000,"Private, For Profit",No,No,Employed-At Work
106771,435002800600122,May,CA,3632.3196,2019.23,45,43,4,,40,2,7,0,0,"Foreign Born, US Cit By Naturalization",9,Insurance carriers and related activities (524),110,"Private, For Profit",No,No,Employed-At Work
106772,440760090607369,May,CA,3942.4091,923.0,40,43,2,,33,1,7,0,0,"Native, Born In US",9,4795,4760,"Private, For Profit",No,No,Employed-At Work
106773,440760090607369,May,CA,3702.7724,1346.15,40,44,1,,34,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),1820,Government - Local,Yes,,Employed-At Work
106774,456247970629003,May,CA,3079.6168,840.0,35,40,1,1.0,58,2,5,0,0,"Native, Born In US",9,Couriers and messengers (492),5510,"Private, For Profit",No,No,Employed-At Work
106778,456248930629003,May,CA,3113.0899,640.0,45,39,1,1.0,40,1,7,0,0,"Foreign Born, Not a US Citizen",9,5275,3930,"Private, For Profit",No,No,Employed-At Work
106779,456248930629003,May,CA,3060.6033,320.0,40,39,1,1.0,41,2,7,2,10,"Foreign Born, Not a US Citizen",9,Cut and sew apparel manufacturing (3152),8320,"Private, For Profit",No,No,Employed-At Work
